Title,Chapter,Verse,English Translation
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.25,The Lord continued: Some Yogis prefer to perform sacrifice through the worship of deities (gods and god esses): other Yogis perform sacrifice to Brahma in the form of fire.
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.26,"Some offer, in the fire of self-control, one of their senses such as their hearing. (This signifies that the signifies has no attachment to any of his senses.)Others offer sensual objects (objects of perception), such as sound, in the fire of controlled senses.Signifying that the sacrificer has the will-power and restraint not to let his senses be influenced by evil, sin, or sensual objects of destruction."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.27,"Some Yogis sacrifice all the functions of their senses ans all their vital functions of life, into the fire of Yoga, in the shape of self control, which is kindled by Gyan (wisdom). (This signifies the sacrificer?s one-mindedness with the Lord, the Supreme Goal)."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.28,Sacrifices come in many forms. Giving away material wealth for charity is a sacrifice. Austerity is a sacrifice. Yoga is a sacrifice. Making vows and promises involve sacrifice. Even self-study is a sacrifice.
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.29,"Other Yogis (wise men) perform sacrifice by controlling the amount of breaths they take. By holding in their breath for a long periond of time whilepronouncing My name, they increase their life?s longevity. This act is known as PRANAYAM.Others perform sacrifice by controlling what they eat,(fasting). Those whose sins have been destroyed by sacrifice, understand the power and importance of sacrifice."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.30,"Other Yogis (wise men) perform sacrifice by controlling the amount of breaths they take. By holding in their breath for a long periond of time whilepronouncing My name, they increase their life?s longevity. This act is known as PRANAYAM.Others perform sacrifice by controlling what they eat,(fasting). Those whose sins have been destroyed by sacrifice, understand the power and importance of sacrifice."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.31,"O Arjuna, only those people who have sacrificed to achieve wisdom and knowledge of Gyan, go to Brahma, (the creator of all beings and God of Wisdom in the World). Without performing some sort of sacrifice in life, one cannot possibly remain happy in this world, not to mention the afterworl"
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.32,"The Lord continued:O Arjuna, many sacrifices are mentioned extensively throughout the Vedas. All of these sacrifices involve some sort of action or Karma to be performed. With this knowledge in mind, you will achieve the state of unattached Karma, or action done without the expectation of any results."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.33,"O Arjuna, sacrifice of wisdom (Gyan) is always better than sacrifice of material objects because all actions end with Gyan."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.34,"The Lord advised:O Arjuna, learn the principles of Gyan and ask questions about Gyan respectfully and with determination, from those who fully understand the principles of Gyan. Thay will explain ?Gyan? to you. Knowing Gyan, you will never be in the confused state as you are in now."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.35,"The Lord continued:O Arjuna, through Gyan, you will see all beings within yourself, and thereafter, all beings in Me."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.36,"O Arjuna, even if you are the greatest sinner in the world, this river of sins can be crossed with the boat of Gyan."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.37,"O Arjuna, as the burnig fire reduces fuel to ashes, in this same way, Karma (attached Karma binding a person to the material world), is burnt down with the fire of Gyan."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.38,"In this world, O Arjuna, there is no greater purifier than Gyan or wisdom itself. The person who has mastered Yoga to perfection feels wisdom in his soul at the proper time."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.39,"To abtain Gyan, one must conquer the senses, and develop a real devotion and faith towards the Lord. When one obtains Gyan, he has discovered the key to Supreme peace."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.40,"If a person is ignorant of the Knowledge of God, the person who lacks faith in God and the one who is full of doubts in his own self, will undoubtedly be destroyed. If one has doubts, he can never achieve peace and Bliss in the world, nor in the after-world."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.41,"One who has rid himself of attached Karma by practising Yoga and one who has rid himself of doubts by achieving Gyan, he is a self-realized person and is not bound by attached Karma."
Jnana-Karma-Sanyasa Yoga,Chapter 4,Verse 4.42,"Hence, be established in yoga by cutting the ignorance born doubt about the self with the sword of knowledge. Stand up, O Bharata."
Atma-Samyama Yoga,Chapter 5,Verse 5.1,"Arjuna asked the Great Lord:Dear Krishna, I am still confused. I have heard praise of Yoga as well as of Sannyaas (Holy Pilgrimage), from You. Which one of these two O Lord, is the best path for me?"
Atma-Samyama Yoga,Chapter 5,Verse 5.2,"Oh Arjuna, both the paths of Yoga and Sannyaas lead one to supreme bliss and happiness. However, I shall always regard Yoga as the better path to the attainment of supreme peace and unity with Me, than the path of Sannyaas."
Atma-Samyama Yoga,Chapter 5,Verse 5.3,"Oh Arjuna a true Sannyaasi is one who has no doubts about anything he does or encounters in his life; who has no enemies whatsoever, and above all, who is free from all desires (for material objects). If he has accomplished all these bondages of the world."
Atma-Samyama Yoga,Chapter 5,Verse 5.4,"Oh Arjuna, in essense, Yoga and Sannyaas are the same because both of these achieve the same goal. Those who consider Yoga and Sannyaas as two different paths leading to the achievement of two different goals, are ignorant.When one is fully absorbed and established in either one of Yoga or Sannyaas, he achieves the results of both of these sacred institutions."
Atma-Samyama Yoga,Chapter 5,Verse 5.5,"Yoga or Sannyaas (together known as Sankyoga) both attain the same goal for he who follows either of these paths. Only he who considers Yoga and Sannyaas as one, sees the ultimate Truth (the Lord)."
Atma-Samyama Yoga,Chapter 5,Verse 5.6,"The Blessed Lord spoke in His Divine voice:O my dear Arjuna, in order for one to achieve Sannyaas, he must practise Karmyoga (doing Karma or actions without attachment or desire to see the results of those actions). If one is successful in performing Karmyoga (that is Karma without attachment to results), he shall realize God very quickly."
Atma-Samyama Yoga,Chapter 5,Verse 5.7,"The Lord spoke onwards:The Karmyogi is a purified being who has conquered the self. He does not centre his life around himeself but around the achievement of being one with God.He detaches himeself from his senses, centering all his thoughts on God and achieving everlasting peace and happiness by breaking free of all material bondage to the world."
Atma-Samyama Yoga,Chapter 5,Verse 5.8,"He who comes to the realization that, although he is physically performing actions such as seeing, hearing, touching, smelling, eating, walking, sleeping, breathing, speaking, receiving, sacrificing, opening and closing eyes, and so on, that he is actually doing nothing, is a Yogi. O Arjuna, the truly wise Yogi knows that in reality, only the senses are acting among their sense objects."
Atma-Samyama Yoga,Chapter 5,Verse 5.9,"He who comes to the realization that, although he is physically performing actions such as seeing, hearing, touching, smelling, eating, walking, sleeping, breathing, speaking, receiving, sacrificing, opening and closing eyes, and so on, that he is actually doing nothing, is a Yogi. O Arjuna, the truly wise Yogi knows that in reality, only the senses are acting among their sense objects."
Atma-Samyama Yoga,Chapter 5,Verse 5.10,"The Lord declared: One who leaves all the results of his actions to God and performs Karma without attachment, is immune to all sins of the world in the same way as a lotus leaf remains unmoistened when placed in water."
Atma-Samyama Yoga,Chapter 5,Verse 5.11,"O Arjuna, Yogis purify their souls by abolishing any feelings of attachment within themselves by performing Karma through mind, body, intellect, and senses."
Atma-Samyama Yoga,Chapter 5,Verse 5.12,"When a Yogi has reached a state of true self-realization by leaving all fruits and results of Karma in the hands of the Lord, he achieves true peace and happiness.However, he who does Karma (actions) for a selfish motive and for the attainment of fruits of his actions, never becomes free of the bondages of desire for material pleasures."
Atma-Samyama Yoga,Chapter 5,Verse 5.13,"A person, having self-control, and mentally freeing himself of all actions (by the uninterest in results of actions), in really performs no actions whatsoever. By mentally detaching himself of all Karma, a man may live in true bliss and peace in his body of nine openings."
Atma-Samyama Yoga,Chapter 5,Verse 5.14,"The Lord does not create the performance of actions (or Karma ), nor Karma itself, nor even the result of Karma. It is simply all due to nature performing its function in the world.(However, nature derives its motivation power from God.)"
Atma-Samyama Yoga,Chapter 5,Verse 5.15,"I, the all pervading Lord receives neither the good nor the bad Karma of anyone. People are from time to time deluded because their Knowledge (Gyan) is Covered up or blinded by ignorance (Agyan)."
Atma-Samyama Yoga,Chapter 5,Verse 5.16,The Lord continued: People?s achievement of knowledge of their SELF has allowed them to destroy their ignorance or remove their lack of knowledge (Agyan). They soon find that the knowledge they acquire radiates the light of God within them.
Atma-Samyama Yoga,Chapter 5,Verse 5.17,"The Lord spoke: O Arjuna, total liberation and everlasting peace is achieved only by those whose mind and intellect constantly dwells on God and who have destroyed all sin by achieving Gyan (Knowledge)"
Atma-Samyama Yoga,Chapter 5,Verse 5.18,"The wise men treat everybody as equals O Arjuna, whether it be a learned and cultured Brahman, a cow, an elephant, or a dog and an outcaste. He not differentiate between anybody."
Atma-Samyama Yoga,Chapter 5,Verse 5.19,"O Arjuna, those who are even-minded and treat everybody as equals in all respects, have reached the ultimate goal of life and have conquered the whole world because God is perfect, without defect, and makes no distinction also. Therefore, they are,in reality, one with God."
Atma-Samyama Yoga,Chapter 5,Verse 5.20,"One truly becomes established in God when neither good circumstances make him happy, no bad Circumstance make him miserable. When a person reaches this type of balance in intellect and emotion, without a single doubt, with true knowledge of God, becomes eternally fixed in Him."
Atma-Samyama Yoga,Chapter 5,Verse 5.21,"O Arjuna, a person who has totally detached himself from the material world and is happy and satisfied within his own self, attains eternal peace. When a person is truly established in the Yoga of God (service, devotion and prayers to Him), he experiences true, eternal bliss without a doubt, O Arjuna."
Atma-Samyama Yoga,Chapter 5,Verse 5.22,"When one?s senses make contact with sensual, material goods, Arjuna, these desire-evoking objects are the cause of misery (these objects may appear enjoyable to material pleasure-seekers).These enjoyments are temporary, having a beginning and an end. When one develops a habitual desire for these artificial enjoyments. O Arjuna, he falls into deep misery and irrational behaviour as soon as these pleasures have disappeared from him."
Atma-Samyama Yoga,Chapter 5,Verse 5.23,"One who is truly happy, peaceful and enlightened with his Soul, that wise man (Yogi) has combined with the supreme Soul (God) as one and attains freedom from all bondages to the world."
Atma-Samyama Yoga,Chapter 5,Verse 5.24,"One who is truly happy, peaceful and enlightened with his Soul, that wise man (Yogi) has combined with the supreme Soul (God) as one and attains freedom from all bondages to the world."
Atma-Samyama Yoga,Chapter 5,Verse 5.25,"Those wise men or sages who have abolished and destroyed all their sins with the achievement of true Gyan (Knowledge), and who have devoted themselves to the welfare of other beings, attain supreme and eternal peace."
Atma-Samyama Yoga,Chapter 5,Verse 5.26,"O Arjuna, all of those wise men (Yogis) who have learned to control their minds, have learned to conquer and abolish all of the desires and anger within them, and have truly realized God, attain freedom and liberation from worldly ties in all respects."
Atma-Samyama Yoga,Chapter 5,Verse 5.27,"A person who has totally detached himself from sense objects that give temporary pleasure and enjoyment, he who has learned to control and equalize the number of breaths going outwards and inwards through the nostrils, he who has brought his senses, mind and intellect under full control, and he who is desire less fearless and without anger, is always a free and liberated wise man."
Atma-Samyama Yoga,Chapter 5,Verse 5.28,"A person who has totally detached himself from sense objects that give temporary pleasure and enjoyment, he who has learned to control and equalize the number of breaths going outwards and inwards through the nostrils, he who has brought his senses, mind and intellect under full control, and he who is desire less fearless and without anger, is always a free and liberated wise man."
Atma-Samyama Yoga,Chapter 5,Verse 5.29,"The Lord declared:O Arjuna, he who shall consider ME the enjoyer of sacrifices and all that is internally pure, and who is devoted to ME, the God of all worlds and well-wisher of all beings, attains true, everlasting peace."
Atma-Samyama Yoga,Chapter 6,Verse 6.1,Lord Krishna continued: A Sannyaasi is one who performs action or duty (Karma) without desiring any reward or other results for his actions. One cannot be a Sannyaasi or a Yogi by simply not petorming Karma.
Atma-Samyama Yoga,Chapter 6,Verse 6.2,"O Arjuna, consider Sannyaas and Yoga as one and the same; just as one becomes a Sannyassi by giving up all desires, similarly to be a Yogi one must do the same."
Atma-Samyama Yoga,Chapter 6,Verse 6.3,"For one who wishes to establish himself in the divinity of Yoga. O Arjuna, he must follow the method of doing Karma without desires of any sort. For, giving up all worldly thoughts is the path that will lead you to being fully and truly established in Yoga, Dear Arjuna."
Atma-Samyama Yoga,Chapter 6,Verse 6.4,"When one is no longer attached to sensual objects or to the Karma that he does, and when he has totally rid himself of all desires, at that time, a person is considered to be fully and undoubtedly established in Yoga."
Atma-Samyama Yoga,Chapter 6,Verse 6.5,"Dear Arjuna, one should lift himself through his own efforts. He success or failure in performing his Karma should be the result of his own doing. Should a man fail, he should not degrade himself, O Arjuna, for he is his own true friend as well as his own true enemy."
Atma-Samyama Yoga,Chapter 6,Verse 6.6,"The true self (soul) is only its own friend if it is free from attachment and in control of its own mind, body and senses. However, dear Arjuna, if one?s soul is not in control of mind body and senses, then the soul is its own enemy."
Atma-Samyama Yoga,Chapter 6,Verse 6.7,"One who has truly achieved peace with the self and a balance in cold and heat, joy and sorrow, respect and disrespect, has a purified and liberated soul, God dwells in souls such as these and the soul thereby, becomes truly divine."
Atma-Samyama Yoga,Chapter 6,Verse 6.8,"he Lord explained: When one?s mind is at peace and fully contented with the Gyan (Knowledge or wisdom) it has acquired, one whose mind is constantly stable and fixed in God, who has controlled his senses well and considers dirt, stone and gold as one, is said to have achieved unity with God. He is the perfect Yogi, O Arjuna."
Atma-Samyama Yoga,Chapter 6,Verse 6.9,"One who thinks about and behaves with dear ones, friends, enemies, neutral ones, mediators malicious people, relatives, saints and sinful people, in the same manner, is truly a superior person."
Atma-Samyama Yoga,Chapter 6,Verse 6.10,"Harboring insatiable lust, full of hypocrisy, pride and arrogance, the demoniac cling to their false tenets. Thus illusioned, they are attracted to the impermanent and work with impure resolve."
Atma-Samyama Yoga,Chapter 6,Verse 6.11,"For proper meditation, the Yogi should seek a clear spot, covered with grass, deer skin and/or clothing, which is neither very high nor very low, to seat himself."
Atma-Samyama Yoga,Chapter 6,Verse 6.12,"He should then practice Yoga for the purpose of purifying his mind and soul, focusing his thoughts on one point (God) at all times, and fully controlling the function of mind and senses."
Atma-Samyama Yoga,Chapter 6,Verse 6.13,"The Lord instructed Arjuna:While meditating one must keep the head, neck and torso (upper body) as straight and as steady as possible, without even a slight movement.firmly looking at the tip of the nose and looking in no other direction whatsoever."
Atma-Samyama Yoga,Chapter 6,Verse 6.14,"It is said the fruit of actions performed in the mode of goodness bestow pure results. Actions done in the mode of passion result in pain, while those performed in the mode of ignorance result in darkness."
Atma-Samyama Yoga,Chapter 6,Verse 6.15,"In this way, the true, self-controlled Yogi. Will inevitably attain eternal peace and be in the highest state of bliss by fixing his mind on Me during (proper) meditation."
Atma-Samyama Yoga,Chapter 6,Verse 6.16,"There must be a constant balance in everything a Yogi does. Eating too much or eating very little, sleeping too much or sleeping very little, for example, are not methods of succeeding in this Yoga."
Atma-Samyama Yoga,Chapter 6,Verse 6.17,"O Arjuna, only those people who eat, live, work and sleep moderately, and destroy all misery, succeed in this Yoga."
Atma-Samyama Yoga,Chapter 6,Verse 6.18,"When one has freed himself of all desires, he will then always be firmly established in Yoga. When one has full control of his mind, he will be fully established in God."
Atma-Samyama Yoga,Chapter 6,Verse 6.19,"The Almighty explained: Just as the flame of a lamp does not flicker in a place without wind, in the same way the controlled mind of the Yogi does not get distracted by worldly objects or pleasures."
Atma-Samyama Yoga,Chapter 6,Verse 6.20,"By the practice of Yoga, one?s mind becomes peaceful and calm and the mind that has truly realized God through meditation attains spiritual happiness, enjoyment and bliss only in God."
Atma-Samyama Yoga,Chapter 6,Verse 6.21,"O Arjuna, the limitless and everlasting joy and bliss that a true Yogi feels cannot be perceived by the ordinary senses, but can only be felt by a person who has a subtle, keen and clever intellect. When this Yogi has discovered this true happiness, he will never stray or move away from the Truth, Arjuna."
Atma-Samyama Yoga,Chapter 6,Verse 6.22,"Having achieved this divine state of bliss, Dear Arjuna, the Yogi realizes that no other state or condition could be greater, thus even the most intense pains will never lead the Yogi astray from Truth or devotion to Me, the Supreme Soul."
Atma-Samyama Yoga,Chapter 6,Verse 6.23,Yoga is the means to liberate (free) one from all miseries of the world. Yoga should always be practical with a fixed mind and determination.
Atma-Samyama Yoga,Chapter 6,Verse 6.24,"Once one has completely given up all desires created from his imagination and once one has learned to mentally control all of his senses, one slowly and gradually becomes peaceful. A true Yogi with a steady intellect fixes his mind only on God and thinks of nothing else but the Lord."
Atma-Samyama Yoga,Chapter 6,Verse 6.25,"Once one has completely given up all desires created from his imagination and once one has learned to mentally control all of his senses, one slowly and gradually becomes peaceful. A true Yogi with a steady intellect fixes his mind only on God and thinks of nothing else but the Lord."
Atma-Samyama Yoga,Chapter 6,Verse 6.26,"The unsteady, wandering and constantly distracted mind should always be controlled and fixed in God."
Atma-Samyama Yoga,Chapter 6,Verse 6.27,"Lord Krishna explained:The true Yogi has a peaceful mind, is free from sin and all evils of the world, becomes and eternal bliss."
Atma-Samyama Yoga,Chapter 6,Verse 6.28,"The sinless Yogi is constantly engaged in Yoga, and experiences no difficulty in achieving the greatest bliss and happiness of all, O Arjuna. That is, uniting and being one with Me, the Lord."
Atma-Samyama Yoga,Chapter 6,Verse 6.29,"he wiseman who is forever engaged in performing Yoga, never discriminates against anybody because he sees his own self in all beings, and all beings within his own self."
Atma-Samyama Yoga,Chapter 6,Verse 6.30,"The Lord explained: O Arjuna, he who truly sees Me everywhere he looks, sees me in everything. I am always there within his sight and he is also always within my sight."
Atma-Samyama Yoga,Chapter 6,Verse 6.31,"The Lord proclaimed: O Arjuna, I am present in all beings. He who worships me with a steady, peaceful and undistracted mind, is a true Yogi and he dwells within Me in My heart always."
Atma-Samyama Yoga,Chapter 6,Verse 6.32,"Dear Arjuna, the Yogi who looks upon all beings as his own self, treats all beings equally, and considers happiness and misery as the same, is truly a great being himself."
Atma-Samyama Yoga,Chapter 6,Verse 6.33,"Arjuna asked Shri Krishna: Dear Lord, I simply cannot regard the Yoga of even-mindedness as a firm and stable exercise because of the instability of the mind itself."
Atma-Samyama Yoga,Chapter 6,Verse 6.34,"Dear Krishna, the mind is truly very unstable, forceful and strong. It is just as difficult to control as the flow of the wind."
Atma-Samyama Yoga,Chapter 6,Verse 6.35,"Lord Krishna divinely replied: Dear Arjuna, undoubtedly, the mind, as you say, is difficult to control, yet with paractice, determination and detachment, it can be controlled."
Atma-Samyama Yoga,Chapter 6,Verse 6.36,"Lord Krishna continued: In my opinion, O Arjuna, without a controlled mind, it is difficult for one to attain Yoga (attaining God). However, with a reasonable effort, the Yoga of even-mindedness (path to achieving the Lord) can be achieved by a person who has learned to control his senses."
Atma-Samyama Yoga,Chapter 6,Verse 6.37,"Arjuna asked the Lord:Dear Lord Krishna, what becomes of a man who has a firm belief in Yoga and has set foot on the path of Yoga, but allows his mind to deviate or stray from this path which leads to perfection?"
Atma-Samyama Yoga,Chapter 6,Verse 6.38,Arjuna continued: What happens to a man who can no longer continue on this path leading to the attainment of God (Yoga)? Is he destroyed and does he lose both worlds of Yoga (God-realization) and that of worldly enjoyment just as the clouds are scattered by the winds?
Atma-Samyama Yoga,Chapter 6,Verse 6.39,"Lord Krishna, this is one of the doubts I have in my mind. You can remove it entirely. If anybody can remove all my doubts Krishna, it is You, and only You. Nobody else can clear My doubts completely."
Atma-Samyama Yoga,Chapter 6,Verse 6.40,"Lord Krishna replied: Dear Arjuna, the answer to your question is quite simple. A person who strives for God-realization (Yoga) never suffers deterioration or destruction. He is never destroyed in this world or in the other world regardless of whether he realizes Me fully or not."
Atma-Samyama Yoga,Chapter 6,Verse 6.41,"The unsuccessful person in Yoga, Dear Arjuna, achieves an abode or home in heaven, the place of pious, pure. He stays there for a long time and after a while, takes birth in the house of noble people of good conduct."
Atma-Samyama Yoga,Chapter 6,Verse 6.42,"Dear Arjuna, if he does not take birth in a noble family of good conduct, then he will be born into a family of wise yogis.Such a birth in the world is difficult to find and can only be achieved if your actions are pious, good-natured and unsinful."
Atma-Samyama Yoga,Chapter 6,Verse 6.43,"When a man takes birth in his next life, he attains the wisdom he had achieved from the pious actions he performed in the pious actions of his past life, he tries harder once more to achieve true eternal peace and happiness in God through Yoga."
Atma-Samyama Yoga,Chapter 6,Verse 6.44,"As a result of the religious practices of his past life, he remains free of attachments and is attracted towards God by constantly practising Yoga although he may be under bad and unfavourable influences."
Atma-Samyama Yoga,Chapter 6,Verse 6.45,"After practicing Yoga during many births, there by destroying all sins and totally purifying the Self, the Yoga attains the supreme state, i.e. Salvation (total liberation from the world)."
Atma-Samyama Yoga,Chapter 6,Verse 6.46,"Lord Krishna stated: O Arjuna, the Yogi is superior to all those who perform religious sacrifices and superior to those who read holy scriptures and, of course, to those who perform attached Karma. Therefore, Arjuna, you should strive to be a Yogi."
Atma-Samyama Yoga,Chapter 6,Verse 6.47,"Of all the Yogis, the one who has complete faith in Me, whose mind is attached to Me only, and who continually worships Me, is absolutely the superior among all Yogis."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.1,"Lord Krishna further explained:Dear Arjuna, with your mind fully absorbed in thoughts of Me and in the practice of Yoga as well, with total reliance on Me alone, listen to the secret of how to really know Me in entirety."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.2,"After I divulge this secret to you, the knowledge you will have attained from this secret of the Supreme (God) will make all other knowledge seem worthless for you, O Arjuna."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.3,"It is very difficult to know Me fully in reality, dear Arjuna. Out of thousands of people, only a few special ones (Yogis or divine devotees) try to realize Me. Even out of those perfect people trying to realize Me, only a few succeed in doing so. Hardly anybody know My reality."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.4,"My nature,dear Arjuna, is formed by eight elements, namely, earth, fire, wind, water, sky, mind, intellect and ego. O Arjuna, understand that the elements I have just mentioned to you are only part of My lower nature. The other part of Me is My higher nature, which preserves the universe."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.5,"My nature,dear Arjuna, is formed by eight elements, namely, earth, fire, wind, water, sky, mind, intellect and ego. O Arjuna, understand that the elements I have just mentioned to you are only part of My lower nature. The other part of Me is My higher nature, which preserves the universe."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.6,"The Lord spoke solemnly: O Arjuna, you must understand that I have created all beings in these two aspects of my nature. Arjuna, Know Me as both the creator and the destroyer of the world."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.7,"Arjuna, there is in reality absolutely nothing else but Me, I am all there is in this whole universe and everything is threaded into Me like the pearls in a necklace."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.8,"Dear Arjuna, I am the essence (the life) of water. I am the light in the Moon and the Sun; I am the ?OM? in all of the Vedas (Holy Scriptures of the Hindu Religion). I am the sound and vibrations in the sky and the manliness in all men."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.9,"I am the aroma (fragrance) in the earth, the radiance in the fire. I am ?life? in all beings, and I represent the sacrifice in all religious and sacrificial ceremonies."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.10,"Arjuna, know Me; I am the core of all beings. I am the intelligence in the intelligent, and I represent the valour in the valiant men of this world."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.11,"Arjuna, my dear devotee, I am the strength in those that are strong and who are free from desire and attachment. I am the controlled, passion in all beings not contrary to Dharma."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.12,"Arjuna, I am also all the thoughts borne out of Sattvik (pure), Rajasik (high activity) and Tamasik (evil) elements that surround this world. Consider them all as created by Me. However, always remember, I am neither in them, nor are they in me."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.13,"The whole universe, o Son of Kunti, is deluded by the Sattvik, Rajasik, and Tamasik Gunas (Components or Parts of nature). However,the truth is that I, the Supreme, Imperishable God, am above all of these Gunas."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.14,"Because My divine nature (many) consisting of these three parts, is very powerful,only those who continuously worship me, rise above these three Gunas (parts of nature) and cease to be deluded by them."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.15,"Those who have lost their Gyan (wisdom) because of the pursuit of power (maya) and those who are evil in nature and are constantly engaged in evil deeds, do not worship Me, O Arjuna."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.16,"In this world there are only four types of pure and divine (pious) people who worship Me,dear Arjuna; those in distress, the seekers of knowledge and wisdom, the wise (Yogis) and those who desire material wealth."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.17,"Among all of these, O Arjuna, only the wise who are always thinking of Me with true love and devotion, are special and dear to Me, and I am dear to them as well."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.18,"Although all of those who worship Me,Arjuna, are dear and sublime to Me, But because I regard a Gyani (man of wisdom) or Yogi to be of my own image, that Yogi will always reside in Me, the Almighty."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.19,"A Gyani or wise man who worship Me with great love and devotion during many or all of his birth, truly realizes Me as the ?be-all? and the ?end-all?. And he is considered by Me to be a great sage."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.20,"Driven by the desires which exist in their nature, ignorant people worship other Deities with rituals."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.21,"Whichever god (deity) a person wishes to worship with faith, O Arjuna, I am the one who establishes or builds his faith in that deity."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.22,"Thus, once these people have been given their faith by Me, the devotees try to worship the deities they choose to worship, and they ultimately achieve their desires as ordered and directed by Me, the Deity of deities"
Jnana-Vijnana Yoga,Chapter 7,Verse 7.23,"The Lord said solemnly: But the reward of those ignorant people who worship other deities is only temporary. Those who worship other deities go to those deities after death but those who worship Me, attain Me, and come to Me."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.24,"Dear Arjuna, those people who have little intelligence fail to regard Me as the Supreme, indestructible, the Almighty, and unmanifest (not readily perceived by the senses); instead, they regard Me as a mere mortal and ordinary human being."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.25,"Shrouded by My own Yogmaya (divine powers), I am not visible to everybody. Those who are ignorant, however, do not know Me as unborn and indestructible (eternal). They will never be able to see Me, O Arjuna. Only those who are dear and devoted to Me, see Me."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.26,"O Arjuna, although I know of every single being who was in the past, who is at the present, and who will be in the future, nobody really knows Me."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.27,"Arjuna, in this world, most beings are confused and deluded by the doubts created by desire and envy, and they become victims of ignorance and Agyan (lack of wisdom)."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.28,"O Arjuna, there are, however, some pious people whose sins have been destroyed and are free from all worldly attachments, who worship Me with a firm, undeluded mind."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.29,"Arjuna, those who make an effort to attain Me and take refuge in Me, achieve deliverance from old age and death, and they also fully understand Brahma, (the infinite never-ending) Adhyatma (self) and all Karma (actions) in this world."
Jnana-Vijnana Yoga,Chapter 7,Verse 7.30,"Only those wise men (Yogis) who truly know Me as being above all elements of the world (Adhibhutha), above all Deities, and above all sacrifices, experience Me even at the end of their existence on earth (death), and they ultimately attain Me, the Supreme Soul."
Aksara-ParaBrahma Yoga,Chapter 8,Verse 8.1,"Arjuna askedthe Lord:Dear Krishna, I have often encountered the terms Brahman, Adhyatma, Karma, Adhibhutam and Adhidaivam, yet I fail to understand the true meaning of these."
Aksara-ParaBrahma Yoga,Chapter 8,Verse 8.2,"Arjuna continued: Furthermore, O Krishna, I am puzzld by the Adhiyoga. Who is he? How does he dwell in one?s body? Lastly, dear Lord, how do true Yogis come to know you in the ultimate end."
Aksara-ParaBrahma Yoga,Chapter 8,Verse 8.3,"The Lord replied:Dear Arjuna, always remember that Brahma is the Supreme imperishable (everlasting); the Universal Soul. The Jeevatma or the soul within one?s body is known as Adhyatma.Karma is the offering made to the Gods that causes the creation or manifestation and also the preservation or sustenance of beings."
Aksara-ParaBrahma Yoga,Chapter 8,Verse 8.4,"The Lord further explained: Adhibhutam represents all perishable or temporary objects. Brahma, the Universal Soul is the Adhidaivam. O Arjuna, I the Vasudeva, am Adhiyga here in this body and form."
Aksara-ParaBrahma Yoga,Chapter 8,Verse 8.5,"Lord Krishna solemnly proclaimed: O Arjuna, he who thinks only of Me at the time of his death, undoubtedly will come to Me."
