,Title,Chapter,Verse,English Translation,a1,a2,a3,a4,a5
174,Jnana-Karma-Sanyasa Yoga,4,14,"The Lord continued: O Arjuna, since I, the immortal Lord, have no cravings for the fruits of action, I do not desire the reward of Karma. Therefore those who know me well are not affected or bound by Karma (action).",870.59625,708.2608,525.52985,0.0,0.0
175,Jnana-Karma-Sanyasa Yoga,4,15,"The Lord continued:O Arjuna, ancient wise men who were searching for salvation in me, knew the facts well. However they even performed actions. Therefore O Arjuna, continue performing your actions doing your Karma as your ancestors once did in the past.",1256.2877,1043.8976,743.09644,0.0,0.0
176,Jnana-Karma-Sanyasa Yoga,4,16,"Even the wise men are confused about Karma (action) and Akarma (inaction). I shall now explain to you the truth about Karma. Knowing the truth, O Arjuna, you will be released from the bondage of Karma.",461.5382,339.862,405.4432,0.0,0.0
177,Jnana-Karma-Sanyasa Yoga,4,17,"One should know the principle of Karma (action) Akarma (inaction) and forbidden Karma, (forbidden action). The philosophy behind Karma is very deep and mysterious. So listen closely.",0.0,297.43185,243.90121,1757.7625,0.0
178,Jnana-Karma-Sanyasa Yoga,4,18,"One who sees action (Karma) in inaction (Akarma), and inaction in action, is a wise man and a great sage. That man who has accomplished all actions is a Yogi.",0.0,781.7791,761.65497,1808.6638,0.0
179,Jnana-Karma-Sanyasa Yoga,4,19,"One who does all Karma without desire or attachment for the fruits of his Karma and one whose actions are burnt up in the of Gyan or wisdom, is regarded by even the wise men as a sage.",125.70633,908.73267,1460.0166,242.9548,0.0
180,Jnana-Karma-Sanyasa Yoga,4,20,"The Lord proclaimed: He who is totally unattached to the rewards of action, is forever happy and satisfied, who depends on nobody in this world, and is constantly involved in action, is really performing no action at all.",764.47943,913.9339,1138.8262,0.0,0.0
181,Jnana-Karma-Sanyasa Yoga,4,21,"That person, O Arjuna, who has conquered his body and mind, who has given up all enjoyments and pleasures of the world, and who performs action only for the sake of maintaining his body, does not encounter or subiect himself to sin.",1114.8837,941.2091,937.6163,0.0,0.0
182,Jnana-Karma-Sanyasa Yoga,4,22,"A person who is content with what he has who has no feeling of desire for other things, or uncertainty of any type, who has shed his envious feelings and who is above all even-minded in success and failure, such a person is no longer bound by Karma even if he still performs Karma.",1441.0814,1194.3209,891.8361,0.0,0.0
183,Jnana-Karma-Sanyasa Yoga,4,23,"Lord Krishna continued: A person who has no attachment to anything whatsoever in this world, whose heart is set on acquiring Gyan (wisdom), who works for the sake of sacrifice, and is a totally liberated person from the world, all actions for this person melt away and are meaningless.",0.0,681.12305,1091.66,297.24905,0.0
184,Jnana-Karma-Sanyasa Yoga,4,24,"The offerings in a sacrifice are Brahma (God), the sacrificial fire is Brahma (God), the one who performs the sacrifice is Brahma, the sacrifice itself is Brahma, the person performing the action of sacrifice is placed in Brahma and will reach Brahma, the ultimate goal of sacrifice.",0.0,1030.0677,1011.8929,1931.1403,0.0
185,Jnana-Karma-Sanyasa Yoga,4,25,The Lord continued: Some Yogis prefer to perform sacrifice through the worship of deities (gods and god esses): other Yogis perform sacrifice to Brahma in the form of fire.,0.0,1087.4417,1134.9122,1604.4991,0.0
186,Jnana-Karma-Sanyasa Yoga,4,26,"Some offer, in the fire of self-control, one of their senses such as their hearing. (This signifies that the signifies has no attachment to any of his senses.)Others offer sensual objects (objects of perception), such as sound, in the fire of controlled senses.Signifying that the sacrificer has the will-power and restraint not to let his senses be influenced by evil, sin, or sensual objects of destruction.",0.0,1188.0775,1502.4747,1280.0858,0.0
187,Jnana-Karma-Sanyasa Yoga,4,27,"Some Yogis sacrifice all the functions of their senses ans all their vital functions of life, into the fire of Yoga, in the shape of self control, which is kindled by Gyan (wisdom). (This signifies the sacrificer?s one-mindedness with the Lord, the Supreme Goal).",0.0,1092.8754,1042.2312,2208.1006,0.0
188,Jnana-Karma-Sanyasa Yoga,4,28,Sacrifices come in many forms. Giving away material wealth for charity is a sacrifice. Austerity is a sacrifice. Yoga is a sacrifice. Making vows and promises involve sacrifice. Even self-study is a sacrifice.,878.0301,697.2528,757.4132,0.0,0.0
189,Jnana-Karma-Sanyasa Yoga,4,29,"Other Yogis (wise men) perform sacrifice by controlling the amount of breaths they take. By holding in their breath for a long periond of time whilepronouncing My name, they increase their life?s longevity. This act is known as PRANAYAM.Others perform sacrifice by controlling what they eat,(fasting). Those whose sins have been destroyed by sacrifice, understand the power and importance of sacrifice.",0.0,857.4644,1008.33966,1016.701,0.0
190,Jnana-Karma-Sanyasa Yoga,4,30,"Other Yogis (wise men) perform sacrifice by controlling the amount of breaths they take. By holding in their breath for a long periond of time whilepronouncing My name, they increase their life?s longevity. This act is known as PRANAYAM.Others perform sacrifice by controlling what they eat,(fasting). Those whose sins have been destroyed by sacrifice, understand the power and importance of sacrifice.",0.0,857.4644,1008.33966,1016.701,0.0
191,Jnana-Karma-Sanyasa Yoga,4,31,"O Arjuna, only those people who have sacrificed to achieve wisdom and knowledge of Gyan, go to Brahma, (the creator of all beings and God of Wisdom in the World). Without performing some sort of sacrifice in life, one cannot possibly remain happy in this world, not to mention the afterworl",541.8731,840.2546,1181.5605,0.0,0.0
192,Jnana-Karma-Sanyasa Yoga,4,32,"The Lord continued:O Arjuna, many sacrifices are mentioned extensively throughout the Vedas. All of these sacrifices involve some sort of action or Karma to be performed. With this knowledge in mind, you will achieve the state of unattached Karma, or action done without the expectation of any results.",948.106,871.1816,1019.72546,0.0,0.0
193,Jnana-Karma-Sanyasa Yoga,4,33,"O Arjuna, sacrifice of wisdom (Gyan) is always better than sacrifice of material objects because all actions end with Gyan.",0.0,577.7112,569.9943,1346.5781,0.0
194,Jnana-Karma-Sanyasa Yoga,4,34,"The Lord advised:O Arjuna, learn the principles of Gyan and ask questions about Gyan respectfully and with determination, from those who fully understand the principles of Gyan. Thay will explain ?Gyan? to you. Knowing Gyan, you will never be in the confused state as you are in now.",1376.5824,1143.9375,812.3819,0.0,0.0
195,Jnana-Karma-Sanyasa Yoga,4,35,"The Lord continued:O Arjuna, through Gyan, you will see all beings within yourself, and thereafter, all beings in Me.",872.1414,690.1108,631.18146,0.0,0.0
196,Jnana-Karma-Sanyasa Yoga,4,36,"O Arjuna, even if you are the greatest sinner in the world, this river of sins can be crossed with the boat of Gyan.",1529.9531,1262.8142,953.1172,0.0,0.0
197,Jnana-Karma-Sanyasa Yoga,4,37,"O Arjuna, as the burnig fire reduces fuel to ashes, in this same way, Karma (attached Karma binding a person to the material world), is burnt down with the fire of Gyan.",0.0,1002.53546,1205.2004,1182.6154,0.0
198,Jnana-Karma-Sanyasa Yoga,4,38,"In this world, O Arjuna, there is no greater purifier than Gyan or wisdom itself. The person who has mastered Yoga to perfection feels wisdom in his soul at the proper time.",993.0258,819.2922,816.8717,0.0,0.0
199,Jnana-Karma-Sanyasa Yoga,4,39,"To abtain Gyan, one must conquer the senses, and develop a real devotion and faith towards the Lord. When one obtains Gyan, he has discovered the key to Supreme peace.",1200.3729,971.45526,849.8533,0.0,0.0
200,Jnana-Karma-Sanyasa Yoga,4,40,"If a person is ignorant of the Knowledge of God, the person who lacks faith in God and the one who is full of doubts in his own self, will undoubtedly be destroyed. If one has doubts, he can never achieve peace and Bliss in the world, nor in the after-world.",1441.4093,1161.7697,1050.3672,0.0,0.0
201,Jnana-Karma-Sanyasa Yoga,4,41,"One who has rid himself of attached Karma by practising Yoga and one who has rid himself of doubts by achieving Gyan, he is a self-realized person and is not bound by attached Karma.",0.0,992.7086,1283.5319,920.38275,0.0
202,Jnana-Karma-Sanyasa Yoga,4,42,"Hence, be established in yoga by cutting the ignorance born doubt about the self with the sword of knowledge. Stand up, O Bharata.",0.0,914.0556,1272.6826,735.54236,0.0
203,Atma-Samyama Yoga,5,1,"Arjuna asked the Great Lord:Dear Krishna, I am still confused. I have heard praise of Yoga as well as of Sannyaas (Holy Pilgrimage), from You. Which one of these two O Lord, is the best path for me?",643.00165,509.0621,413.66724,0.0,0.0
204,Atma-Samyama Yoga,5,2,"Oh Arjuna, both the paths of Yoga and Sannyaas lead one to supreme bliss and happiness. However, I shall always regard Yoga as the better path to the attainment of supreme peace and unity with Me, than the path of Sannyaas.",555.7125,833.0336,1149.5082,0.0,0.0
205,Atma-Samyama Yoga,5,3,"Oh Arjuna a true Sannyaasi is one who has no doubts about anything he does or encounters in his life; who has no enemies whatsoever, and above all, who is free from all desires (for material objects). If he has accomplished all these bondages of the world.",1294.8221,1080.0557,754.3029,0.0,0.0
206,Atma-Samyama Yoga,5,4,"Oh Arjuna, in essense, Yoga and Sannyaas are the same because both of these achieve the same goal. Those who consider Yoga and Sannyaas as two different paths leading to the achievement of two different goals, are ignorant.When one is fully absorbed and established in either one of Yoga or Sannyaas, he achieves the results of both of these sacred institutions.",0.0,977.61365,1540.5931,444.08798,0.0
207,Atma-Samyama Yoga,5,5,"Yoga or Sannyaas (together known as Sankyoga) both attain the same goal for he who follows either of these paths. Only he who considers Yoga and Sannyaas as one, sees the ultimate Truth (the Lord).",0.0,662.038,672.09326,1501.7285,0.0
208,Atma-Samyama Yoga,5,6,"The Blessed Lord spoke in His Divine voice:O my dear Arjuna, in order for one to achieve Sannyaas, he must practise Karmyoga (doing Karma or actions without attachment or desire to see the results of those actions). If one is successful in performing Karmyoga (that is Karma without attachment to results), he shall realize God very quickly.",847.513,667.8489,623.89014,0.0,0.0
209,Atma-Samyama Yoga,5,7,"The Lord spoke onwards:The Karmyogi is a purified being who has conquered the self. He does not centre his life around himeself but around the achievement of being one with God.He detaches himeself from his senses, centering all his thoughts on God and achieving everlasting peace and happiness by breaking free of all material bondage to the world.",474.54092,878.0404,1172.9479,0.0,0.0
210,Atma-Samyama Yoga,5,8,"He who comes to the realization that, although he is physically performing actions such as seeing, hearing, touching, smelling, eating, walking, sleeping, breathing, speaking, receiving, sacrificing, opening and closing eyes, and so on, that he is actually doing nothing, is a Yogi. O Arjuna, the truly wise Yogi knows that in reality, only the senses are acting among their sense objects.",1250.2758,1014.75867,841.8216,0.0,0.0
211,Atma-Samyama Yoga,5,9,"He who comes to the realization that, although he is physically performing actions such as seeing, hearing, touching, smelling, eating, walking, sleeping, breathing, speaking, receiving, sacrificing, opening and closing eyes, and so on, that he is actually doing nothing, is a Yogi. O Arjuna, the truly wise Yogi knows that in reality, only the senses are acting among their sense objects.",1250.2758,1014.75867,841.8216,0.0,0.0
212,Atma-Samyama Yoga,5,10,"The Lord declared: One who leaves all the results of his actions to God and performs Karma without attachment, is immune to all sins of the world in the same way as a lotus leaf remains unmoistened when placed in water.",0.0,1019.6458,1591.79,565.72473,0.0
213,Atma-Samyama Yoga,5,11,"O Arjuna, Yogis purify their souls by abolishing any feelings of attachment within themselves by performing Karma through mind, body, intellect, and senses.",0.0,906.25946,1126.8817,958.7927,0.0
214,Atma-Samyama Yoga,5,12,"When a Yogi has reached a state of true self-realization by leaving all fruits and results of Karma in the hands of the Lord, he achieves true peace and happiness.However, he who does Karma (actions) for a selfish motive and for the attainment of fruits of his actions, never becomes free of the bondages of desire for material pleasures.",0.0,1380.7338,1539.7238,1743.4806,0.0
215,Atma-Samyama Yoga,5,13,"A person, having self-control, and mentally freeing himself of all actions (by the uninterest in results of actions), in really performs no actions whatsoever. By mentally detaching himself of all Karma, a man may live in true bliss and peace in his body of nine openings.",0.0,1345.0902,1365.8842,1929.8754,0.0
216,Atma-Samyama Yoga,5,14,"The Lord does not create the performance of actions (or Karma ), nor Karma itself, nor even the result of Karma. It is simply all due to nature performing its function in the world.(However, nature derives its motivation power from God.)",0.0,1070.9158,1158.5797,1440.3274,0.0
217,Atma-Samyama Yoga,5,15,"I, the all pervading Lord receives neither the good nor the bad Karma of anyone. People are from time to time deluded because their Knowledge (Gyan) is Covered up or blinded by ignorance (Agyan).",0.0,402.75592,500.5616,461.74997,0.0
218,Atma-Samyama Yoga,5,16,The Lord continued: People?s achievement of knowledge of their SELF has allowed them to destroy their ignorance or remove their lack of knowledge (Agyan). They soon find that the knowledge they acquire radiates the light of God within them.,0.0,873.10455,1244.9381,721.56683,0.0
219,Atma-Samyama Yoga,5,17,"The Lord spoke: O Arjuna, total liberation and everlasting peace is achieved only by those whose mind and intellect constantly dwells on God and who have destroyed all sin by achieving Gyan (Knowledge)",0.0,625.99255,559.12476,1446.4227,0.0
220,Atma-Samyama Yoga,5,18,"The wise men treat everybody as equals O Arjuna, whether it be a learned and cultured Brahman, a cow, an elephant, or a dog and an outcaste. He not differentiate between anybody.",1225.5947,993.4317,834.7969,0.0,0.0
221,Atma-Samyama Yoga,5,19,"O Arjuna, those who are even-minded and treat everybody as equals in all respects, have reached the ultimate goal of life and have conquered the whole world because God is perfect, without defect, and makes no distinction also. Therefore, they are,in reality, one with God.",1117.3208,897.68024,883.21484,0.0,0.0
222,Atma-Samyama Yoga,5,20,"One truly becomes established in God when neither good circumstances make him happy, no bad Circumstance make him miserable. When a person reaches this type of balance in intellect and emotion, without a single doubt, with true knowledge of God, becomes eternally fixed in Him.",1261.128,1036.2227,789.63635,0.0,0.0
223,Atma-Samyama Yoga,5,21,"O Arjuna, a person who has totally detached himself from the material world and is happy and satisfied within his own self, attains eternal peace. When a person is truly established in the Yoga of God (service, devotion and prayers to Him), he experiences true, eternal bliss without a doubt, O Arjuna.",0.0,672.8554,1053.4742,372.6607,0.0
224,Atma-Samyama Yoga,5,22,"When one?s senses make contact with sensual, material goods, Arjuna, these desire-evoking objects are the cause of misery (these objects may appear enjoyable to material pleasure-seekers).These enjoyments are temporary, having a beginning and an end. When one develops a habitual desire for these artificial enjoyments. O Arjuna, he falls into deep misery and irrational behaviour as soon as these pleasures have disappeared from him.",911.522,741.97205,778.25,0.0,0.0
225,Atma-Samyama Yoga,5,23,"One who is truly happy, peaceful and enlightened with his Soul, that wise man (Yogi) has combined with the supreme Soul (God) as one and attains freedom from all bondages to the world.",0.0,662.75397,664.3133,1424.9968,0.0
226,Atma-Samyama Yoga,5,24,"One who is truly happy, peaceful and enlightened with his Soul, that wise man (Yogi) has combined with the supreme Soul (God) as one and attains freedom from all bondages to the world.",0.0,662.75397,664.3133,1424.9968,0.0
227,Atma-Samyama Yoga,5,25,"Those wise men or sages who have abolished and destroyed all their sins with the achievement of true Gyan (Knowledge), and who have devoted themselves to the welfare of other beings, attain supreme and eternal peace.",0.0,809.10565,1146.5289,677.9987,0.0
228,Atma-Samyama Yoga,5,26,"O Arjuna, all of those wise men (Yogis) who have learned to control their minds, have learned to conquer and abolish all of the desires and anger within them, and have truly realized God, attain freedom and liberation from worldly ties in all respects.",585.84326,773.21204,1034.6675,0.0,0.0
229,Atma-Samyama Yoga,5,27,"A person who has totally detached himself from sense objects that give temporary pleasure and enjoyment, he who has learned to control and equalize the number of breaths going outwards and inwards through the nostrils, he who has brought his senses, mind and intellect under full control, and he who is desire less fearless and without anger, is always a free and liberated wise man.",1231.4143,1001.6744,890.69855,0.0,0.0
230,Atma-Samyama Yoga,5,28,"A person who has totally detached himself from sense objects that give temporary pleasure and enjoyment, he who has learned to control and equalize the number of breaths going outwards and inwards through the nostrils, he who has brought his senses, mind and intellect under full control, and he who is desire less fearless and without anger, is always a free and liberated wise man.",1231.4143,1001.6744,890.69855,0.0,0.0
231,Atma-Samyama Yoga,5,29,"The Lord declared:O Arjuna, he who shall consider ME the enjoyer of sacrifices and all that is internally pure, and who is devoted to ME, the God of all worlds and well-wisher of all beings, attains true, everlasting peace.",521.02673,832.76697,1135.1599,0.0,0.0
232,Atma-Samyama Yoga,6,1,Lord Krishna continued: A Sannyaasi is one who performs action or duty (Karma) without desiring any reward or other results for his actions. One cannot be a Sannyaasi or a Yogi by simply not petorming Karma.,376.8245,364.24384,565.2749,0.0,0.0
233,Atma-Samyama Yoga,6,2,"O Arjuna, consider Sannyaas and Yoga as one and the same; just as one becomes a Sannyassi by giving up all desires, similarly to be a Yogi one must do the same.",1240.711,1002.869,883.83673,0.0,0.0
234,Atma-Samyama Yoga,6,3,"For one who wishes to establish himself in the divinity of Yoga. O Arjuna, he must follow the method of doing Karma without desires of any sort. For, giving up all worldly thoughts is the path that will lead you to being fully and truly established in Yoga, Dear Arjuna.",1351.4064,1099.8971,905.5657,0.0,0.0
235,Atma-Samyama Yoga,6,4,"When one is no longer attached to sensual objects or to the Karma that he does, and when he has totally rid himself of all desires, at that time, a person is considered to be fully and undoubtedly established in Yoga.",1954.3838,1628.4838,1136.8125,0.0,0.0
236,Atma-Samyama Yoga,6,5,"Dear Arjuna, one should lift himself through his own efforts. He success or failure in performing his Karma should be the result of his own doing. Should a man fail, he should not degrade himself, O Arjuna, for he is his own true friend as well as his own true enemy.",1486.3514,1238.4894,887.71155,0.0,0.0
237,Atma-Samyama Yoga,6,6,"The true self (soul) is only its own friend if it is free from attachment and in control of its own mind, body and senses. However, dear Arjuna, if one?s soul is not in control of mind body and senses, then the soul is its own enemy.",930.3463,789.2767,868.1614,0.0,0.0
238,Atma-Samyama Yoga,6,7,"One who has truly achieved peace with the self and a balance in cold and heat, joy and sorrow, respect and disrespect, has a purified and liberated soul, God dwells in souls such as these and the soul thereby, becomes truly divine.",0.0,916.93805,1408.1736,548.6631,0.0
239,Atma-Samyama Yoga,6,8,"he Lord explained: When one?s mind is at peace and fully contented with the Gyan (Knowledge or wisdom) it has acquired, one whose mind is constantly stable and fixed in God, who has controlled his senses well and considers dirt, stone and gold as one, is said to have achieved unity with God. He is the perfect Yogi, O Arjuna.",209.45241,619.62726,959.6396,49.337406,0.0
240,Atma-Samyama Yoga,6,9,"One who thinks about and behaves with dear ones, friends, enemies, neutral ones, mediators malicious people, relatives, saints and sinful people, in the same manner, is truly a superior person.",1068.5773,861.58545,721.0694,0.0,0.0
241,Atma-Samyama Yoga,6,10,"Harboring insatiable lust, full of hypocrisy, pride and arrogance, the demoniac cling to their false tenets. Thus illusioned, they are attracted to the impermanent and work with impure resolve.",1105.9543,914.6386,927.4627,0.0,0.0
242,Atma-Samyama Yoga,6,11,"For proper meditation, the Yogi should seek a clear spot, covered with grass, deer skin and/or clothing, which is neither very high nor very low, to seat himself.",1163.6543,940.6822,803.0997,0.0,0.0
243,Atma-Samyama Yoga,6,12,"He should then practice Yoga for the purpose of purifying his mind and soul, focusing his thoughts on one point (God) at all times, and fully controlling the function of mind and senses.",0.0,956.0108,1288.9672,851.29346,0.0
244,Atma-Samyama Yoga,6,13,"The Lord instructed Arjuna:While meditating one must keep the head, neck and torso (upper body) as straight and as steady as possible, without even a slight movement.firmly looking at the tip of the nose and looking in no other direction whatsoever.",0.0,990.4165,1117.1165,1289.9373,0.0
245,Atma-Samyama Yoga,6,14,"It is said the fruit of actions performed in the mode of goodness bestow pure results. Actions done in the mode of passion result in pain, while those performed in the mode of ignorance result in darkness.",0.0,1646.7532,1842.7316,2070.5657,0.0
246,Atma-Samyama Yoga,6,15,"In this way, the true, self-controlled Yogi. Will inevitably attain eternal peace and be in the highest state of bliss by fixing his mind on Me during (proper) meditation.",0.0,967.8093,927.60284,1773.4374,0.0
247,Atma-Samyama Yoga,6,16,"There must be a constant balance in everything a Yogi does. Eating too much or eating very little, sleeping too much or sleeping very little, for example, are not methods of succeeding in this Yoga.",1708.8678,1426.7456,948.0929,0.0,0.0
248,Atma-Samyama Yoga,6,17,"O Arjuna, only those people who eat, live, work and sleep moderately, and destroy all misery, succeed in this Yoga.",1204.5138,997.6466,702.9197,0.0,0.0
249,Atma-Samyama Yoga,6,18,"When one has freed himself of all desires, he will then always be firmly established in Yoga. When one has full control of his mind, he will be fully established in God.",1725.5892,1436.3768,1055.4254,0.0,0.0
250,Atma-Samyama Yoga,6,19,"The Almighty explained: Just as the flame of a lamp does not flicker in a place without wind, in the same way the controlled mind of the Yogi does not get distracted by worldly objects or pleasures.",91.06937,825.56824,1332.1079,243.45801,0.0
251,Atma-Samyama Yoga,6,20,"By the practice of Yoga, one?s mind becomes peaceful and calm and the mind that has truly realized God through meditation attains spiritual happiness, enjoyment and bliss only in God.",363.28915,745.3882,1069.867,0.0,0.0
252,Atma-Samyama Yoga,6,21,"O Arjuna, the limitless and everlasting joy and bliss that a true Yogi feels cannot be perceived by the ordinary senses, but can only be felt by a person who has a subtle, keen and clever intellect. When this Yogi has discovered this true happiness, he will never stray or move away from the Truth, Arjuna.",1463.3009,1221.3523,834.1913,0.0,0.0
253,Atma-Samyama Yoga,6,22,"Having achieved this divine state of bliss, Dear Arjuna, the Yogi realizes that no other state or condition could be greater, thus even the most intense pains will never lead the Yogi astray from Truth or devotion to Me, the Supreme Soul.",1126.0317,915.2811,745.5311,0.0,0.0
254,Atma-Samyama Yoga,6,23,Yoga is the means to liberate (free) one from all miseries of the world. Yoga should always be practical with a fixed mind and determination.,100.469574,658.26373,1090.8359,189.45609,0.0
255,Atma-Samyama Yoga,6,24,"Once one has completely given up all desires created from his imagination and once one has learned to mentally control all of his senses, one slowly and gradually becomes peaceful. A true Yogi with a steady intellect fixes his mind only on God and thinks of nothing else but the Lord.",1265.4124,1034.8112,878.4241,0.0,0.0
256,Atma-Samyama Yoga,6,25,"Once one has completely given up all desires created from his imagination and once one has learned to mentally control all of his senses, one slowly and gradually becomes peaceful. A true Yogi with a steady intellect fixes his mind only on God and thinks of nothing else but the Lord.",1265.4124,1034.8112,878.4241,0.0,0.0
257,Atma-Samyama Yoga,6,26,"The unsteady, wandering and constantly distracted mind should always be controlled and fixed in God.",1299.4554,1069.7307,821.0235,0.0,0.0
258,Atma-Samyama Yoga,6,27,"Lord Krishna explained:The true Yogi has a peaceful mind, is free from sin and all evils of the world, becomes and eternal bliss.",0.0,833.52936,1099.5872,818.1447,0.0
259,Atma-Samyama Yoga,6,28,"The sinless Yogi is constantly engaged in Yoga, and experiences no difficulty in achieving the greatest bliss and happiness of all, O Arjuna. That is, uniting and being one with Me, the Lord.",0.0,972.6373,1217.571,1050.6973,0.0
260,Atma-Samyama Yoga,6,29,"he wiseman who is forever engaged in performing Yoga, never discriminates against anybody because he sees his own self in all beings, and all beings within his own self.",1556.1066,1298.3408,935.70135,0.0,0.0
261,Atma-Samyama Yoga,6,30,"The Lord explained: O Arjuna, he who truly sees Me everywhere he looks, sees me in everything. I am always there within his sight and he is also always within my sight.",1613.674,1353.5581,779.3481,0.0,0.0
262,Atma-Samyama Yoga,6,31,"The Lord proclaimed: O Arjuna, I am present in all beings. He who worships me with a steady, peaceful and undistracted mind, is a true Yogi and he dwells within Me in My heart always.",1155.7881,966.83325,609.6177,0.0,0.0
263,Atma-Samyama Yoga,6,32,"Dear Arjuna, the Yogi who looks upon all beings as his own self, treats all beings equally, and considers happiness and misery as the same, is truly a great being himself.",875.7515,861.0792,992.2519,0.0,0.0
264,Atma-Samyama Yoga,6,33,"Arjuna asked Shri Krishna: Dear Lord, I simply cannot regard the Yoga of even-mindedness as a firm and stable exercise because of the instability of the mind itself.",223.63307,692.54346,1115.0818,70.97925,0.0
265,Atma-Samyama Yoga,6,34,"Dear Krishna, the mind is truly very unstable, forceful and strong. It is just as difficult to control as the flow of the wind.",892.50305,953.2147,1197.1359,0.0,0.0
266,Atma-Samyama Yoga,6,35,"Lord Krishna divinely replied: Dear Arjuna, undoubtedly, the mind, as you say, is difficult to control, yet with paractice, determination and detachment, it can be controlled.",1311.3273,1088.4714,741.25006,0.0,0.0
267,Atma-Samyama Yoga,6,36,"Lord Krishna continued: In my opinion, O Arjuna, without a controlled mind, it is difficult for one to attain Yoga (attaining God). However, with a reasonable effort, the Yoga of even-mindedness (path to achieving the Lord) can be achieved by a person who has learned to control his senses.",0.0,665.54486,952.0884,552.7858,0.0
268,Atma-Samyama Yoga,6,37,"Arjuna asked the Lord:Dear Lord Krishna, what becomes of a man who has a firm belief in Yoga and has set foot on the path of Yoga, but allows his mind to deviate or stray from this path which leads to perfection?",728.1605,847.985,1037.1794,0.0,0.0
269,Atma-Samyama Yoga,6,38,Arjuna continued: What happens to a man who can no longer continue on this path leading to the attainment of God (Yoga)? Is he destroyed and does he lose both worlds of Yoga (God-realization) and that of worldly enjoyment just as the clouds are scattered by the winds?,0.0,606.4629,964.54913,315.72256,0.0
270,Atma-Samyama Yoga,6,39,"Lord Krishna, this is one of the doubts I have in my mind. You can remove it entirely. If anybody can remove all my doubts Krishna, it is You, and only You. Nobody else can clear My doubts completely.",2274.9397,1904.6251,1117.3678,0.0,0.0
271,Atma-Samyama Yoga,6,40,"Lord Krishna replied: Dear Arjuna, the answer to your question is quite simple. A person who strives for God-realization (Yoga) never suffers deterioration or destruction. He is never destroyed in this world or in the other world regardless of whether he realizes Me fully or not.",743.49963,580.35016,575.4037,0.0,0.0
272,Atma-Samyama Yoga,6,41,"The unsuccessful person in Yoga, Dear Arjuna, achieves an abode or home in heaven, the place of pious, pure. He stays there for a long time and after a while, takes birth in the house of noble people of good conduct.",0.0,1218.1091,1628.2517,1144.6952,0.0
273,Atma-Samyama Yoga,6,42,"Dear Arjuna, if he does not take birth in a noble family of good conduct, then he will be born into a family of wise yogis.Such a birth in the world is difficult to find and can only be achieved if your actions are pious, good-natured and unsinful.",1802.7806,1503.7131,1013.1306,0.0,0.0
274,Atma-Samyama Yoga,6,43,"When a man takes birth in his next life, he attains the wisdom he had achieved from the pious actions he performed in the pious actions of his past life, he tries harder once more to achieve true eternal peace and happiness in God through Yoga.",1370.1245,1166.3104,1049.3162,0.0,0.0
275,Atma-Samyama Yoga,6,44,"As a result of the religious practices of his past life, he remains free of attachments and is attracted towards God by constantly practising Yoga although he may be under bad and unfavourable influences.",252.36371,1034.13,1555.7004,146.52226,0.0
276,Atma-Samyama Yoga,6,45,"After practicing Yoga during many births, there by destroying all sins and totally purifying the Self, the Yoga attains the supreme state, i.e. Salvation (total liberation from the world).",0.0,925.5326,857.44836,1962.2994,0.0
277,Atma-Samyama Yoga,6,46,"Lord Krishna stated: O Arjuna, the Yogi is superior to all those who perform religious sacrifices and superior to those who read holy scriptures and, of course, to those who perform attached Karma. Therefore, Arjuna, you should strive to be a Yogi.",1466.0151,1214.6716,866.3696,0.0,0.0
278,Atma-Samyama Yoga,6,47,"Of all the Yogis, the one who has complete faith in Me, whose mind is attached to Me only, and who continually worships Me, is absolutely the superior among all Yogis.",411.83173,601.2481,847.54565,0.0,0.0
279,Jnana-Vijnana Yoga,7,1,"Lord Krishna further explained:Dear Arjuna, with your mind fully absorbed in thoughts of Me and in the practice of Yoga as well, with total reliance on Me alone, listen to the secret of how to really know Me in entirety.",0.0,890.7144,1249.3656,782.45764,0.0
280,Jnana-Vijnana Yoga,7,2,"After I divulge this secret to you, the knowledge you will have attained from this secret of the Supreme (God) will make all other knowledge seem worthless for you, O Arjuna.",1433.3318,1197.1067,730.36487,0.0,0.0
281,Jnana-Vijnana Yoga,7,3,"It is very difficult to know Me fully in reality, dear Arjuna. Out of thousands of people, only a few special ones (Yogis or divine devotees) try to realize Me. Even out of those perfect people trying to realize Me, only a few succeed in doing so. Hardly anybody know My reality.",1243.1005,1033.2859,684.2111,0.0,0.0
282,Jnana-Vijnana Yoga,7,4,"My nature,dear Arjuna, is formed by eight elements, namely, earth, fire, wind, water, sky, mind, intellect and ego. O Arjuna, understand that the elements I have just mentioned to you are only part of My lower nature. The other part of Me is My higher nature, which preserves the universe.",507.34518,632.17914,849.406,0.0,0.0
283,Jnana-Vijnana Yoga,7,5,"My nature,dear Arjuna, is formed by eight elements, namely, earth, fire, wind, water, sky, mind, intellect and ego. O Arjuna, understand that the elements I have just mentioned to you are only part of My lower nature. The other part of Me is My higher nature, which preserves the universe.",507.34518,632.17914,849.406,0.0,0.0
284,Jnana-Vijnana Yoga,7,6,"The Lord spoke solemnly: O Arjuna, you must understand that I have created all beings in these two aspects of my nature. Arjuna, Know Me as both the creator and the destroyer of the world.",412.49612,630.6984,886.7363,0.0,0.0
